id,name,domain,country,categories,prio,note
infomaniak,Infomaniak,infomaniak.com,CH,shared-hosting;paas;iaas,1,Large independent Swiss host with own datacentres and strong sustainability claims
aruba-it,Aruba.it,aruba.it,IT,shared-hosting;vps;iaas,1,Largest Italian host and registrar with own DCs; Italy is a total gap
sakura-internet,Sakura Internet,sakura.ad.jp,JP,vps;shared-hosting;iaas,1,Major Japanese provider with public pricing and deep docs
leaseweb,Leaseweb,leaseweb.com,NL,iaas;bare-metal;vps,1,Large Dutch IaaS and bare metal with public pricing
pantheon,Pantheon,pantheon.io,US,paas,1,WordPress and Drupal PaaS; notable gap next to WP Engine and Kinsta
namecheap,Namecheap,namecheap.com,US,shared-hosting;vps,1,Very widely used registrar plus hosting
servebolt,Servebolt,servebolt.com,NO,paas,1,Norwegian performance host aimed at agencies
alibaba-cloud,Alibaba Cloud,alibabacloud.com,CN,iaas;paas;serverless,1,Major global IaaS entirely missing
stackit,STACKIT,stackit.de,DE,iaas;paas,1,Schwarz Group cloud; German sovereign-cloud angle
nearlyfreespeech,NearlyFreeSpeech.NET,nearlyfreespeech.net,US,shared-hosting,1,Pay-as-you-go, developer favourite, unusual pricing model
directadmin,DirectAdmin,directadmin.com,US,server-management,1,Third major control panel next to cPanel and Plesk
cyberpanel,CyberPanel,cyberpanel.net,US,server-management,1,OpenLiteSpeed panel with free and paid tiers
hestiacp,Hestia Control Panel,hestiacp.com,NL,server-management,1,Open-source panel, free, public docs
cloudpanel,CloudPanel,cloudpanel.io,DE,server-management,1,Free panel by MGT Commerce
enhance,Enhance,enhance.com,US,server-management,2,Multi-server hosting panel aimed at hosts
aapanel,aaPanel,aapanel.com,CN,server-management,2,Widely used free panel
ispconfig,ISPConfig,ispconfig.org,DE,server-management,2,Long-running open-source panel
virtualmin,Virtualmin,virtualmin.com,US,server-management,2,Webmin-based panel, free and pro tiers
froxlor,Froxlor,froxlor.org,DE,server-management,3,Open-source panel, small but German
serveravatar,ServerAvatar,serveravatar.com,IN,server-management,2,Panel in the RunCloud and Ploi bracket
moss,Moss,moss.sh,ES,server-management,X,VERIFY - moss.sh no longer resolves (NXDOMAIN), likely defunct
framer,Framer,framer.com,NL,lcnc;static,1,Design-to-site builder, Dutch, public pricing
carrd,Carrd,carrd.co,US,lcnc;vanity-hosting,2,One-page site builder, very cheap tier
softr,Softr,softr.io,DE,lcnc,2,No-code app builder on Airtable
glide,Glide,glideapps.com,US,lcnc,3,No-code app builder
base44,Base44,base44.com,IL,lcnc,2,AI app builder, acquired by Wix
neocities,Neocities,neocities.org,US,vanity-hosting;static,1,Free static hosting, the GeoCities successor
codeberg-pages,Codeberg Pages,codeberg.page,DE,static;vanity-hosting,2,Free static hosting from a German non-profit
gitlab-pages,GitLab Pages,gitlab.com,US,static,2,Counterpart to the GitHub Pages record already held
bearblog,Bear Blog,bearblog.dev,ZA,vanity-hosting,3,Minimal blog host, free and paid tier
micro-blog,Micro.blog,micro.blog,US,vanity-hosting,3,Hosted blogging and social
val-town,Val Town,val.town,US,serverless,2,Serverless functions in the browser
fermyon,Fermyon,fermyon.com,US,serverless,X,DROP - acquired by Akamai, fermyon.com now redirects to akamai.com/products/akamai-functions; a fact for the existing akamai draft instead
convex,Convex,convex.dev,US,serverless;paas,3,Backend platform, near the Supabase and Nhost bracket
pockethost,PocketHost,pockethost.io,US,paas,3,Hosted PocketBase
hosteurope,Host Europe,hosteurope.de,DE,shared-hosting;vps,2,Long-running German host, GoDaddy-owned
alfahosting,Alfahosting,alfahosting.de,DE,shared-hosting;vps,2,German host with public pricing
goneo,goneo,goneo.de,DE,shared-hosting,3,Small German host
variomedia,Variomedia,variomedia.de,DE,shared-hosting,2,German host with a green-power angle
lima-city,lima-city,lima-city.de,DE,shared-hosting,3,German host with a free tier
plusserver,plusserver,plusserver.com,DE,iaas;bare-metal,3,German managed cloud; check public pricing
