Domain,RefSubNets,PrevRefSubNets,provider
123-reg.co.uk,1960,1954,123-reg
1984.hosting,668,660,1984-hosting
20i.com,631,623,20i
4everland.org,402,407,4everland
a1.group,534,542,a1-telekom-austria
aapanel.com,4123,4140,aapanel
acquia.com,2741,2761,acquia
active24.cz,4106,4101,active24
adalo.com,1414,1423,adalo
advania.is,336,336,advania
aeserver.com,657,658,aeserver
afrihost.com,1757,1772,afrihost
akamai.com,10638,10734,akamai
akky.mx,425,423,akky
alfahosting.de,1486,1482,alfahosting
alibabacloud.com,6158,6133,alibaba-cloud
all-inkl.com,3989,3971,all-inkl
abc.xyz,4616,4672,alphabet
alwaysdata.com,689,689,alwaysdata
amen.pt,1179,1185,amen
anaconda.com,5462,5525,anaconda
anexia.com,571,565,anexia
antagonist.nl,2548,2551,antagonist
apiscp.com,307,320,apiscp
appsmith.com,1140,1145,appsmith
appwrite.io,1050,1048,appwrite
arcustech.com,245,238,arcustech
argeweb.nl,459,462,argeweb
arsys.es,5157,5204,arsys
arubacloud.com,546,542,aruba-it
automattic.com,24334,24426,automattic
aws.amazon.com,46453,46794,aws-lambda
aws.amazon.com,46453,46794,aws
azdigi.com,813,829,azdigi
back4app.com,732,752,back4app
base44.com,1091,1100,base44
bearblog.dev,3002,2998,bearblog
bearstech.com,364,362,bearstech
beget.com,3041,3074,beget
bigrock.in,899,884,bigrock
binarylane.com.au,309,296,binary-lane
binero.se,502,514,binero
bitbucket.org,17411,17468,bitbucket
bitfolk.com,384,391,bitfolk
bizflycloud.vn,418,422,bizflycloud
biznetgio.com,403,406,biznet-gio
blacknight.com,1306,1301,blacknight
block.xyz,1891,1897,block
blot.im,645,658,blot
bluehost.com,14878,14878,bluehost
bravostudio.app,445,444,bravo-studio
brixly.uk,254,255,brixly
bubble.io,3915,3941,bubble
bunny.net,3589,3576,bunny-net
buyvm.net,669,660,buyvm
buzinessware.com,306,311,buzinessware
byet.host,953,957,byet
byte.nl,552,553,byte
bytemark.co.uk,977,983,bytemark
cafe24.com,6774,6792,cafe24
capconnect.com,442,438,capconnect
caprover.com,3771,3783,caprover
cargo.site,4003,3997,cargo
carrd.co,12867,12936,carrd
cdmon.com,750,760,cdmon
chemicloud.com,679,683,chemicloud
cherryservers.com,770,773,cherry-servers
cinven.com,437,438,cinven
civo.com,800,801,civo
cleavr.io,240,232,cleavr
clever.cloud,747,741,clever-cloud
cloud66.com,468,474,cloud66
cloudpanel.io,625,626,cloudpanel
cloudron.io,1440,1436,cloudron
cloudways.com,5081,5125,cloudways
cloudzy.com,754,746,cloudzy
codeberg.page,2601,2575,codeberg-pages
codeberg.org,14645,14658,codeberg
colombiahosting.com.co,575,569,colombiahosting
combell.com,1308,1305,combell
